company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/company/access-litigation-support-services,ACCESS Litigation Support Services,software,USA,DC,Washington DC,Washington,/company/edmond-scientific,Edmond Scientific,enterprise,USA,VA,Washington DC,Fairfax,2008-08-25,2008-08,2008-Q3,2008,,USD
/company/accessflow,AccessFlow,consulting,USA,CA,Sacramento,Sacramento,/company/inx,INX,network_hosting,USA,TX,Houston,Houston,2008-06-09,2008-06,2008-Q2,2008,7350000,USD
/company/acclarent,Acclarent,biotech,USA,CA,SF Bay,Menlo Park,/company/johnson-johnson,Johnson & Johnson,biotech,USA,NJ,New Brunswick,New Brunswick,2009-12-17,2009-12,2009-Q4,2009,785000000,USD
/company/accomplice,Accomplice,software,USA,CA,SF Bay,Palo Alto,/company/vertabase,Vertabase,software,USA,MI,Detroit,Southfield,2008-07-01,2008-07,2008-Q3,2008,,USD
/company/accordent-technologies,Accordent Technologies,,USA,CA,Los Angeles,El Segundo,/company/polycom-2,Polycom,enterprise,USA,CA,SF Bay,San Jose,2011-03-23,2011-03,2011-Q1,2011,,USD
/company/accu-time-systems,Accu-Time Systems,,USA,CT,Ellington,Ellington,/company/amano-usa-holdings,Amano USA Holdings,,USA,NJ,Roseland,Roseland,2010-03-02,2010-03,2010-Q1,2010,,USD
/company/accugenix,Accugenix,biotech,USA,DE,Willmington,Newark,/company/charles-river-laboratories-international,Charles River Laboratories International,biotech,USA,MA,Boston,Wilmington,2012-08-29,2012-08,2012-Q3,2012,,USD
/company/accumetrics,Accumetrics,biotech,USA,CA,San Diego,San Diego,/company/itc,ITC,biotech,,,unknown,,2013-08-30,2013-08,2013-Q3,2013,,USD
/company/accupost-corporation,Accupost Corporation,software,USA,CO,Denver,Littleton,/company/transunion,TransUnion,legal,USA,IL,Chicago,Chicago,2004-09-02,2004-09,2004-Q3,2004,,USD
/company/acerno,acerno,web,USA,NY,New York,New York,/company/akamai-technologies,Akamai Technologies,enterprise,USA,MA,Boston,Cambridge,2008-10-21,2008-10,2008-Q4,2008,95000000,USD
/company/aceva-technologies,Aceva Technologies,software,USA,CA,SF Bay,San Mateo,/company/sungard,SunGard,software,USA,PA,Philadelphia,Wayne,2007-02-15,2007-02,2007-Q1,2007,,USD
/company/acme-packet,Acme Packet,network_hosting,USA,MA,Boston,Bedford,/company/oracle,Oracle Corporation,enterprise,USA,CA,SF Bay,Redwood City,2013-02-04,2013-02,2013-Q1,2013,,USD
/company/acopia-networks,Acopia Networks,,USA,MA,Boston,Lowell,/company/f5-networks,F5 Networks,other,USA,WA,Seattle,Seattle,2007-08-06,2007-08,2007-Q3,2007,210000000,USD
/company/acquity-group,Acquity Group,ecommerce,USA,IL,Chicago,Chicago,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,2013-05-19,2013-05,2013-Q2,2013,316000000,USD
/company/actacell,Actacell,cleantech,USA,TX,Austin,Austin,/company/contour-energy-systems,Contour Energy Systems,cleantech,USA,CA,Los Angeles,Azusa,2012-09-06,2012-09,2012-Q3,2012,,USD
/company/acteksoft,ActekSoft,software,USA,AL,Birmingham,Birmingham,/company/callidus-software,CallidusCloud,software,USA,CA,SF Bay,Pleasanton,2010-01-11,2010-01,2010-Q1,2010,,USD
/company/actimis-pharmaceuticals,Actimis Pharmaceuticals,biotech,USA,CA,San Diego,San Diego,/company/boehringer-ingelheim,Boehringer Ingelheim,biotech,DEU,,Ingelheim,Ingelheim,2008-06-17,2008-06,2008-Q2,2008,515000000,USD
/company/actionengine,Action Engine,mobile,USA,WA,Seattle,Bellevue,/company/mobui,Mobui,mobile,USA,WA,Seattle,Redmond,2008-10-13,2008-10,2008-Q4,2008,,USD
/company/activa-live,Activa Live,,USA,MI,Detroit,St. Clair Shores,/company/salesforce,Salesforce,enterprise,USA,CA,SF Bay,San Francisco,2010-09-24,2010-09,2010-Q3,2010,,USD
/company/active-data-services,Active Data Services,,USA,NC,Raleigh-Durham,Morrisville,/company/diversified-information-technologies,Diversified Information Technologies,,USA,PA,Scranton,Scranton,2009-10-08,2009-10,2009-Q4,2009,,USD
/company/active-reasoning,Active Reasoning,software,USA,CA,SF Bay,San Mateo,/company/oracle,Oracle Corporation,enterprise,USA,CA,SF Bay,Redwood City,2007-09-30,2007-09,2007-Q3,2007,,USD
/company/active-voice-corporation,Active Voice Corporation,public_relations,USA,WA,Seattle,Seattle,/company/cisco,Cisco,network_hosting,USA,CA,SF Bay,San Jose,2000-11-10,2000-11,2000-Q4,2000,,USD
/company/activecause,ActiveCause,web,USA,NY,New York,New York,/company/ingk-labs,Ingk Labs,news,USA,NY,New York,New York,2011-09-13,2011-09,2011-Q3,2011,,USD
/company/actividentity,ActivIdentity,enterprise,USA,CA,SF Bay,Fremont,/company/hid-global,HID Global,enterprise,USA,CA,Los Angeles,Irvine,2010-12-16,2010-12,2010-Q4,2010,,USD
/company/acton-pharmaceuticals,Acton Pharmaceuticals,biotech,USA,MA,Boston,Marlborough,/company/meda,Meda,biotech,SWE,,Solna,Solna,2013-08-30,2013-08,2013-Q3,2013,135000000,USD
/company/actona-technologies,Actona Technologies,,USA,CA,SF Bay,Los Gatos,/company/cisco,Cisco,network_hosting,USA,CA,SF Bay,San Jose,2004-06-29,2004-06,2004-Q2,2004,,USD
/company/acuity-solutions,Acuity Solutions,security,USA,NV,Las Vegas,Las Vegas,/company/fishnet-security,FishNet Security,security,USA,KS,Kansas City,Overland Park,2009-03-19,2009-03,2009-Q1,2009,,USD
/company/acumen-pm,Acumen PM,software,USA,TX,Austin,Austin,/company/deltek,Deltek,software,USA,VA,Washington DC,Herndon,2013-07-15,2013-07,2013-Q3,2013,,USD
/company/acuo-technologies,Acuo Technologies,,USA,MN,Minneapolis,Bloomington,/company/lexmark,Lexmark,hardware,USA,KY,Lexington,Lexington,2013-01-02,2013-01,2013-Q1,2013,,USD
/company/ad-infuse,Ad Infuse,advertising,USA,CA,SF Bay,San Francisco,/company/velti,Velti,mobile,USA,CA,SF Bay,San Francisco,2009-05-12,2009-05,2009-Q2,2009,,USD
/company/adanet,AdaNet,network_hosting,USA,OK,Ada,Ada,/company/sitestar,Sitestar,network_hosting,USA,VA,Lynchburg,Lynchburg,2008-06-09,2008-06,2008-Q2,2008,,USD
/company/adap-tv,Adap.tv,advertising,USA,CA,SF Bay,San Mateo,/company/aol,AOL,web,USA,NY,New York,New York,2013-08-07,2013-08,2013-Q3,2013,405000000,USD
/company/adapt-technologies,Adapt Technologies,,USA,CA,Los Angeles,Pasadena,/company/webvisible,WebVisible,software,USA,CA,Playa VIsta,Playa Vista,2008-11-20,2008-11,2008-Q4,2008,,USD
/company/adaptive-real-estate-services,Adaptive Real Estate Services,consulting,USA,CA,Fortuna,Fortuna,/company/vast,Vast,ecommerce,USA,CA,SF Bay,San Francisco,2008-01-10,2008-01,2008-Q1,2008,,USD
/company/adaptiveads,AdaptiveAds,advertising,USA,CA,SF Bay,San Francisco,/company/glammedia,Glam Media,web,USA,CA,SF Bay,Brisbane,2009-01-29,2009-01,2009-Q1,2009,,USD
/company/adaptix,ADAPTIX,public_relations,USA,TX,Dallas,Carrollton,/company/acacia-research,Acacia Research,other,USA,CA,Los Angeles,Newport Beach,2012-01-13,2012-01,2012-Q1,2012,160000000,USD
/company/adbrite,adBrite,advertising,USA,CA,SF Bay,San Francisco,/company/site-scout,Site Scout,advertising,CAN,,Toronto,Toronto,2013-06-20,2013-06,2013-Q2,2013,,USD
/company/adbuyer-com,AdBuyer.com,advertising,USA,NY,New York,New York,/company/mediabank,MediaOcean,software,USA,IL,Chicago,Chicago,2011-04-28,2011-04,2011-Q2,2011,,USD
/company/add-on-exchange,Add-on Exchange,web,USA,NY,New York,New York,/company/goip-global,GoIP Global,web,USA,NY,New York,New York,2010-11-19,2010-11,2010-Q4,2010,,USD
/company/add-to-any,AddToAny,public_relations,USA,CA,SF Bay,San Francisco,/company/lockerz,Lockerz,news,USA,WA,Seattle,Seattle,2011-07-12,2011-07,2011-Q3,2011,,USD
/company/addval-technology,AddVal Technology,,USA,CA,SF Bay,Cupertino,/company/accenture,Accenture,consulting,USA,CA,San Diego,San Diego,2008-05-01,2008-05,2008-Q2,2008,,USD
/company/adecn,AdECN,advertising,USA,CA,Santa Barbara,Carpinteria,/company/microsoft,Microsoft,software,USA,WA,Seattle,Redmond,2007-07-26,2007-07,2007-Q3,2007,,USD
/company/adengage,AdEngage,web,USA,CA,Los Angeles,El Segundo,/company/technorati,Technorati,advertising,USA,CA,SF Bay,San Francisco,2008-10-01,2008-10,2008-Q4,2008,,USD
/company/adept-cloud,Adept Cloud,enterprise,USA,CA,SF Bay,San Mateo,/company/hightail,Hightail,network_hosting,USA,CA,SF Bay,Campbell,2013-09-17,2013-09,2013-Q3,2013,,USD
/company/adeptol,Adeptol,software,USA,CA,SF Bay,Santa Clara,/company/accusoft-pegasus-2,Accusoft Pegasus,,,,unknown,,2011-10-03,2011-10,2011-Q4,2011,,USD
/company/adeptra,Adeptra,public_relations,USA,CT,New York,Norwalk,/company/fair-isaac-corporation,FICO (Fair Isaac Corporation),software,USA,MN,Minneapolis,Minneapolis,2012-08-16,2012-08,2012-Q3,2012,115000000,USD
/company/aderant,ADERANT,software,USA,GA,Atlanta,Atlanta,/company/bigwords-com,BIGWORDS.com,search,USA,MD,Washington DC,Annapolis,2008-11-03,2008-11,2008-Q4,2008,,USD
/company/adgrok,AdGrok,advertising,USA,CA,SF Bay,San Francisco,/company/twitter,Twitter,social,USA,CA,SF Bay,San Francisco,2011-05-31,2011-05,2011-Q2,2011,10000000,USD
/company/adhubs,adHUBS,,USA,CA,SF Bay,San Ramon,/company/reply-com,Reply! Inc.,advertising,USA,CA,SF Bay,San Ramon,2011-02-04,2011-02,2011-Q1,2011,,USD
/company/aditime,ADI Time,web,USA,RI,Warwick,Warwick,/company/asure-software,Asure Software,software,USA,TX,Austin,Austin,2011-10-03,2011-10,2011-Q4,2011,,USD
/company/adiana,Adiana,biotech,USA,CA,SF Bay,Redwood City,/company/cytyc,Cytyc,biotech,USA,MA,Boston,Marlborough,2007-02-26,2007-02,2007-Q1,2007,215000000,USD
/company/adify,Adify,advertising,USA,CA,SF Bay,San Bruno,/company/cox-enterprises,Cox Enterprises,,USA,GA,Atlanta,Atlanta,2008-04-28,2008-04,2008-Q2,2008,300000000,USD
/company/adinterax,AdInterax,,USA,CA,SF Bay,Sunnyvale,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,2006-10-01,2006-10,2006-Q4,2006,,USD
/company/ad-network-adisn,Adisn,advertising,USA,CA,Los Angeles,Woodland Hills,/company/crowdgather,CrowdGather,web,USA,CA,Los Angeles,Woodland Hills,2010-06-10,2010-06,2010-Q2,2010,5500000,USD
/company/adjitsu,AdJitsu,,USA,CA,SF Bay,Palo Alto,/company/amobee,Amobee,advertising,USA,CA,SF Bay,Redwood City,2012-05-08,2012-05,2012-Q2,2012,,USD
/company/adku,Adku,software,USA,CA,SF Bay,San Francisco,/company/groupon,Groupon,web,USA,IL,Chicago,Chicago,2012-02-03,2012-02,2012-Q1,2012,,USD
/company/admarvel,AdMarvel,advertising,USA,CA,SF Bay,San Mateo,/company/opera-software,Opera Software,software,NOR,,Oslo,Oslo,2010-01-20,2010-01,2010-Q1,2010,8000000,USD
/company/admeld,Admeld,advertising,USA,NY,New York,New York,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2011-06-01,2011-06,2011-Q2,2011,400000000,CAD
/company/administrative-partners,Administrative Partners,,USA,FL,Tampa,Tampa,/company/tribridge,Tribridge,software,USA,FL,Tampa,Tampa,2008-07-04,2008-07,2008-Q3,2008,,USD
/company/adminserver,AdminServer,software,USA,PA,Philadelphia,Chester,/company/oracle,Oracle Corporation,enterprise,USA,CA,SF Bay,Redwood City,2008-05-01,2008-05,2008-Q2,2008,,USD
/company/admmicro,ADMMicro,hardware,USA,VA,Roanoke,Roanoke,/company/gridpoint,GridPoint,cleantech,USA,VA,Washington DC,Arlington,2009-11-09,2009-11,2009-Q4,2009,,USD
/company/admob,AdMob,advertising,USA,CA,SF Bay,Mountain View,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2009-11-09,2009-11,2009-Q4,2009,750000000,USD
/company/admovate,Admovate,,USA,CA,SF Bay,Mountain View,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,2013-07-17,2013-07,2013-Q3,2013,,USD
/company/adnectar,AdNectar,advertising,USA,CA,SF Bay,Palo Alto,/company/lockerz,Lockerz,news,USA,WA,Seattle,Seattle,2011-06-01,2011-06,2011-Q2,2011,,USD
/company/adolor,Adolor,biotech,USA,PA,Philadelphia,Exton,/company/cubist-pharmaceuticals,Cubist Pharmaceuticals,biotech,USA,MA,Boston,Lexington,2011-12-12,2011-12,2011-Q4,2011,453000000,USD
/company/adotube,AdoTube,advertising,USA,NY,New York,New York,/company/exponential,Exponential,advertising,USA,CA,SF Bay,Emeryville,2011-09-13,2011-09,2011-Q3,2011,,USD
/company/adperio,Adperio,,USA,,Denver,"Denver,",/company/matomy-media-group,Matomy Media Group,advertising,ISR,,Tel Aviv,Tel Aviv,2011-08-11,2011-08,2011-Q3,2011,30000000,USD
/company/adportal,AdPortal,web,USA,CA,SF Bay,San Francisco,/company/glammedia,Glam Media,web,USA,CA,SF Bay,Brisbane,2010-07-23,2010-07,2010-Q3,2010,,USD
/company/adscape,Adscape,web,USA,CA,SF Bay,San Francisco,/company/google,Google,search,USA,CA,SF Bay,Mountain View,2007-02-01,2007-02,2007-Q1,2007,23000000,USD
/company/adstack,AdStack,advertising,USA,CA,SF Bay,San Francisco,/company/tellapart,TellApart,analytics,USA,CA,SF Bay,Burlingame,2013-09-30,2013-09,2013-Q3,2013,,USD
/company/adtuition,Adtuitive,advertising,USA,NY,New York,New York,/company/etsy,Etsy,ecommerce,USA,NY,New York,Brooklyn,2009-12-18,2009-12,2009-Q4,2009,,USD
/company/aductions,Aductions,web,USA,CA,SF Bay,San Jose,/company/zyraz-technology,Zyraz Technology,biotech,MYS,,Damansara,Damansara,2008-06-18,2008-06,2008-Q2,2008,3500000,USD
/company/adura-technologies,Adura Technologies,cleantech,USA,CA,SF Bay,San Francisco,/company/acuity-brands,Acuity Brands,,USA,GA,Atlanta,Atlanta,2013-01-07,2013-01,2013-Q1,2013,,USD
/company/advanced-analogic-technologies,Advanced Analogic Technologies,semiconductor,USA,,SF Bay,Santa Clara,/company/skyworks-solutions,Skyworks Solutions,semiconductor,USA,MA,Boston,Woburn,2011-05-27,2011-05,2011-Q2,2011,262500000,USD
/company/advanced-biohealing,Advanced BioHealing,biotech,USA,CT,Westport,Westport,/company/shire,Shire,biotech,IRL,,Dublin,Dublin,2011-05-17,2011-05,2011-Q2,2011,,USD
/company/advanced-bionics,Advanced Bionics,other,USA,CA,Los Angeles,Valencia,/company/sonova-holding,Sonova Holding,other,CHE,,Stafa,Stafa,2009-11-09,2009-11,2009-Q4,2009,,USD
/company/advanced-control-components,Advanced Control Components,,USA,NJ,New Jersey - Other,,/company/emrise-corporation,Emrise Corporation,hardware,USA,NJ,Eatontown,Eatontown,2009-01-17,2009-01,2009-Q1,2009,18780000,USD
/company/advanced-data-exchange,Advanced Data Exchange,software,USA,CA,SF Bay,Fremont,/company/liaison-technologies,Liaison Technologies,software,USA,GA,Atlanta,Alpharetta,2010-01-12,2010-01,2010-Q1,2010,,USD
/company/advanced-energy-conversion,Advanced Energy Conversion,hardware,USA,NY,Schenectady,Schenectady,/company/ioxus,Ioxus,cleantech,USA,NY,Oneonta,Oneonta,2010-09-27,2010-09,2010-Q3,2010,,USD
